model,auc,accuracy,cv_auc_mean,cv_auc_std,training_time
XGBoost,0.9221559934546049,0.8984136858475894,0.8873064463749515,0.014143718206948298,5.262179
Random_Forest,0.9101724554622186,0.8757698289269051,0.8837621697648911,0.004229118570106691,13.479889
Logistic_Regression,0.8444978502717755,0.8704821150855365,0.7651409262637184,0.017273922886806695,2.43493
